nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0032551,tt0050083,tt0051207,tt0082846
nm0000021	Joan Fontaine	1917	2013	actress,soundtrack,producer	tt0035751,tt0034248,tt0032976,tt0040536
nm0000022	Clark Gable	1901	1960	actor,soundtrack,producer	tt0026752,tt0025316,tt0031381,tt0023382
nm0000023	Judy Garland	1922	1969	soundtrack,actress	tt0032138,tt0055031,tt0037059,tt0047522
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0117631,tt0045943,tt0071877,tt0082031
nm0000025	Jerry Goldsmith	1929	2004	music_department,soundtrack,composer	tt0112715,tt0119488,tt0117731,tt0077269
nm0000026	Cary Grant	1904	1986	actor,soundtrack,producer	tt0034248,tt0053125,tt0048728,tt0056923
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0076759,tt0041546,tt0050212,tt0051739
nm0000028	Rita Hayworth	1918	1987	actress,soundtrack,producer	tt0038559,tt0040525,tt0035103,tt0036723
nm0000029	Margaux Hemingway	1954	1996	actress,miscellaneous	tt0110138,tt0074802,tt0077800,tt0102122
nm0000030	Audrey Hepburn	1929	1993	actress,soundtrack	tt0046250,tt0058385,tt0054698,tt0056923
nm0000031	Katharine Hepburn	1907	2003	actress,soundtrack,writer	tt0082846,tt0063227,tt0043265,tt0032904
nm0000032	Charlton Heston	1923	2008	actor,director,writer	tt0070723,tt0052618,tt0063442,tt0049833
nm0000033	Alfred Hitchcock	1899	1980	director,producer,actor	tt0052357,tt0040746,tt0053125,tt0054215
nm0000034	William Holden	1918	1981	actor,soundtrack	tt0047437,tt0074958,tt0043014,tt0046359
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0120746,tt0120647,tt0499549,tt0120338
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0019421,tt0015324,tt0016332,tt0017925
nm0000037	Gene Kelly	1912	1996	soundtrack,actor,director	tt0045152,tt0053946,tt0041716,tt0043278
nm0000038	Grace Kelly	1929	1982	actress,soundtrack	tt0046912,tt0047396,tt0046874,tt0048728
nm0000039	Deborah Kerr	1921	2007	actress,soundtrack	tt0039192,tt0049408,tt0045793,tt0050105
nm0000040	Stanley Kubrick	1928	1999	director,writer,producer	tt0120663,tt0062622,tt0072684,tt0066921
nm0000041	Akira Kurosawa	1910	1998	writer,director,assistant_director	tt0051808,tt0080979,tt0089881,tt0047478
nm0000042	Alan Ladd	1913	1964	actor,producer,camera_department	tt0034798,tt0038369,tt0035432,tt0046303
nm0000043	Veronica Lake	1922	1973	actress,soundtrack,producer	tt0034240,tt0035432,tt0038369,tt0034798
nm0000044	Burt Lancaster	1913	1994	actor,producer,miscellaneous	tt0080388,tt0051036,tt0050468,tt0045793
nm0000045	Bruce Lee	1940	1973	actor,writer,miscellaneous	tt0068767,tt0070034,tt0068935,tt0067824
nm0000046	Vivien Leigh	1913	1967	actress,soundtrack,writer	tt0033238,tt0034272,tt0031381,tt0044081
nm0000047	Sophia Loren	1934	\N	actress,soundtrack	tt0054749,tt0076085,tt0058335,tt0060121
nm0000048	Peter Lorre	1904	1964	actor,soundtrack,writer	tt0034583,tt0022100,tt0033870,tt0036613
nm0000049	Henry Mancini	1924	1994	music_department,soundtrack,composer	tt0057413,tt0383216,tt0085101,tt0054698
nm0000050	Groucho Marx	1890	1977	soundtrack,actor,writer	tt0026778,tt0023969,tt0028772,tt0023027
nm0000051	James Mason	1909	1984	actor,producer,writer	tt0056193,tt0046672,tt0047522,tt0053125
nm0000052	Marcello Mastroianni	1924	1996	actor,producer,soundtrack	tt0076085,tt0110907,tt0053779,tt0056801
nm0000053	Robert Mitchum	1917	1997	actor,soundtrack,producer	tt0055824,tt0048424,tt0039689,tt0056197
nm0000054	Marilyn Monroe	1926	1962	soundtrack,actress,writer	tt0048605,tt0050861,tt0045810,tt0053291
nm0000055	Alfred Newman	1900	1970	music_department,composer,soundtrack	tt0042192,tt0056085,tt0065377,tt0434409
nm0000056	Paul Newman	1925	2008	actor,producer,director	tt0061512,tt0054997,tt0257044,tt0084855
nm0000057	David Niven	1910	1983	actor,producer,soundtrack	tt0052182,tt0057413,tt0074937,tt0061452
nm0000058	Maureen O'Hara	1920	2015	actress,soundtrack	tt0039628,tt0041149,tt0045061,tt0055277
nm0000059	Laurence Olivier	1907	1989	actor,producer,director	tt0032976,tt0069281,tt0077269,tt0074860
nm0000060	Gregory Peck	1916	2003	actor,producer,soundtrack	tt0077269,tt0056592,tt0046250,tt0038109
nm0000061	Tyrone Power	1914	1958	actor,soundtrack,producer	tt0051201,tt0043959,tt0034405,tt0042256
nm0000062	Elvis Presley	1935	1977	soundtrack,actor,music_department	tt0054692,tt0053848,tt0056585,tt0056023
nm0000063	Anthony Quinn	1915	2001	actor,producer,soundtrack	tt0049456,tt0056172,tt0057831,tt0064952
nm0000064	Edward G. Robinson	1893	1973	actor,soundtrack,writer	tt0049833,tt0040506,tt0038991,tt0036775
nm0000065	Nino Rota	1911	1979	composer,soundtrack,music_department	tt0068646,tt0056801,tt0063518,tt0071562
nm0000066	Jane Russell	1921	2011	actress,soundtrack,producer	tt0043476,tt0045810,tt0036241,tt0043643
nm0000067	Miklós Rózsa	1907	1995	music_department,composer,soundtrack	tt0037884,tt0036775,tt0052618,tt0038109
nm0000068	Randolph Scott	1898	1987	actor,producer,soundtrack	tt0026942,tt0049743,tt0056412,tt0051047
nm0000069	Frank Sinatra	1915	1998	soundtrack,actor,producer	tt0052218,tt0056218,tt0049314,tt0045793
nm0000070	Max Steiner	1888	1971	music_department,composer,soundtrack	tt0040897,tt0036613,tt0031381,tt0034583
nm0000071	James Stewart	1908	1997	actor,soundtrack,director	tt0052561,tt0031679,tt0032904,tt0052357
nm0000072	Elizabeth Taylor	1932	2011	actress,soundtrack,producer	tt0061184,tt0051459,tt0053318,tt0056937
nm0000073	Shirley Temple	1928	2014	actress,soundtrack,writer	tt0016029,tt0032264,tt0031580,tt0040369
nm0000074	Gene Tierney	1920	1991	actress,soundtrack	tt0037865,tt0035979,tt0037008,tt0039420
nm0000075	Spencer Tracy	1900	1967	actor,soundtrack	tt0053946,tt0061735,tt0057193,tt0055031
nm0000076	François Truffaut	1932	1984	writer,director,producer	tt0053198,tt0070460,tt0055032,tt0075860
nm0000077	Franz Waxman	1906	1967	music_department,composer,soundtrack	tt0032976,tt0034248,tt0026138,tt0043014
nm0000078	John Wayne	1907	1979	actor,producer,soundtrack	tt0053580,tt0056217,tt0065126,tt0031971
nm0000079	Raquel Welch	1940	\N	actress,soundtrack,producer	tt0072281,tt0070291,tt0066115,tt0062708
nm0000080	Orson Welles	1915	1985	actor,director,writer	tt0052311,tt0038991,tt0040525,tt0033467
nm0000081	Natalie Wood	1938	1981	actress,soundtrack,music_department	tt0057263,tt0055614,tt0055471,tt0048545
nm0000082	Victor Young	1900	1956	music_department,soundtrack,composer	tt0045061,tt0119094,tt0048960,tt3315342
nm0000083	Alan Miller	\N	\N	editor,writer,director	tt0320978,tt0424773,tt0969216,tt5969604
nm0000084	Gong Li	1965	\N	actress	tt0430357,tt0397535,tt0101640,tt0473444
nm0000085	Henner Hofmann	1950	\N	cinematographer,producer,camera_department	tt0113482,tt0097738,tt0097523,tt1825758
nm0000086	Louis de Funès	1914	1983	actor,writer,soundtrack	tt0069747,tt0079200,tt0083109,tt0074103
nm0000087	Elena Koreneva	1953	\N	actress,casting_director,soundtrack	tt5847740,tt7529350,tt0123138,tt0122969
nm0000088	Aleksey Korenev	1927	1995	director,writer,assistant_director	tt0100069,tt0191104,tt0063752,tt0068304
nm0000089	Richard Paul	1940	1998	actor,soundtrack	tt0088529,tt0117318,tt0075489,tt0093778
nm0000090	Armin Mueller-Stahl	1930	\N	actor,director,writer	tt0963178,tt0765443,tt0139809,tt0117631
nm0000091	Gérard Pirès	1942	\N	director,writer,actor	tt0282552,tt0421974,tt0064297,tt0152930
nm0000092	John Cleese	1939	\N	actor,writer,producer	tt0085959,tt0071853,tt0095159,tt0063929
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt0356910,tt2935510,tt0114746,tt1210166
nm0000094	J. Reifel	\N	\N	writer	tt0117915,tt0118886,tt0116030,tt0118631
nm0000095	Woody Allen	1935	\N	writer,director,actor	tt0079522,tt0091167,tt0118954,tt0075686
nm0000096	Gillian Anderson	1968	\N	actress,producer,soundtrack	tt0455590,tt0106179,tt2294189,tt0442632
nm0000097	Pamela Anderson	1967	\N	actress,producer,director	tt0267913,tt0306047,tt0426592,tt0115624
nm0000098	Jennifer Aniston	1969	\N	actress,producer,soundtrack	tt3442006,tt0108778,tt1723121,tt0279113
nm0000099	Patricia Arquette	1968	\N	actress,soundtrack,director	tt1065073,tt0412175,tt0108399,tt0145531
nm0000100	Rowan Atkinson	1955	\N	actor,writer,producer	tt1634122,tt0274166,tt0118689,tt0110357
nm0000101	Dan Aykroyd	1952	\N	writer,actor,producer	tt0087332,tt0097428,tt0118747,tt0080455
nm0000102	Kevin Bacon	1958	\N	actor,producer,soundtrack	tt0087277,tt0361127,tt0164052,tt0327056
nm0000103	Fairuza Balk	1974	\N	actress,soundtrack	tt0089908,tt0120586,tt0115963,tt0181875
nm0000104	Antonio Banderas	1960	\N	actor,soundtrack,writer	tt0120657,tt1189073,tt0285823,tt0120746
nm0000105	Adrienne Barbeau	1945	\N	actress,soundtrack	tt0082340,tt0080749,tt0083767,tt0090685
nm0000106	Drew Barrymore	1975	\N	producer,actress,soundtrack	tt0343660,tt0120631,tt0151738,tt0160127
nm0000107	Kim Basinger	1953	\N	actress,soundtrack,producer	tt0108525,tt0337921,tt0119488,tt0096895
nm0000108	Luc Besson	1959	\N	writer,producer,director	tt0100263,tt2872732,tt0119116,tt0110413
nm0000109	Yasmine Bleeth	1968	\N	actress	tt0337851,tt0131857,tt0115285,tt0119271
nm0000110	Kenneth Branagh	1960	\N	actor,producer,director	tt0107616,tt3402236,tt0116477,tt0097499
nm0000111	Matthew Broderick	1962	\N	actor,soundtrack,director	tt0091042,tt0115798,tt0395251,tt0086567
nm0000112	Pierce Brosnan	1953	\N	actor,producer,soundtrack	tt0143145,tt0795421,tt0155267,tt0120347
nm0000113	Sandra Bullock	1964	\N	producer,actress,soundtrack	tt1041829,tt0212346,tt0111257,tt1454468
nm0000114	Steve Buscemi	1957	\N	actor,director,producer	tt4686844,tt0162346,tt0105236,tt0116282
nm0000115	Nicolas Cage	1964	\N	actor,producer,soundtrack	tt0435705,tt0119094,tt0117500,tt0113627
nm0000116	James Cameron	1954	\N	writer,producer,director	tt0120338,tt0499549,tt0103064,tt0090605
nm0000117	Neve Campbell	1973	\N	actress,producer,soundtrack	tt0117571,tt0120082,tt0120890,tt0134084
nm0000118	John Carpenter	1948	\N	soundtrack,writer,music_department	tt0080749,tt0082340,tt0096256,tt0077651
nm0000119	Tia Carrere	1967	\N	actress,soundtrack,producer	tt0207919,tt0111503,tt0105793,tt0275847
nm0000120	Jim Carrey	1962	\N	actor,writer,producer	tt0315327,tt0338013,tt0110475,tt0109040
nm0000121	Phoebe Cates	1963	\N	actress,soundtrack	tt0099700,tt0083929,tt0101775,tt0087363
nm0000122	Charles Chaplin	1889	1977	writer,soundtrack,actor	tt0018773,tt0027977,tt0044837,tt0032553
nm0000123	George Clooney	1961	\N	actor,producer,director	tt1124035,tt1193138,tt0433383,tt0465538
nm0000124	Jennifer Connelly	1970	\N	actress	tt0180093,tt0315983,tt0268978,tt0102803
nm0000125	Sean Connery	1930	2020	actor,producer,soundtrack	tt0094226,tt0055928,tt0117500,tt0059800
nm0000126	Kevin Costner	1955	\N	actor,producer,soundtrack	tt0102798,tt0119925,tt0103855,tt0099348
nm0000127	Wes Craven	1939	2015	writer,producer,director	tt0117571,tt0111686,tt0105121,tt0087800
nm0000128	Russell Crowe	1964	\N	actor,soundtrack,producer	tt1707386,tt0119488,tt0268978,tt0172495
nm0000129	Tom Cruise	1962	\N	actor,producer,soundtrack	tt0181689,tt0325710,tt0092099,tt0116695
nm0000130	Jamie Lee Curtis	1958	\N	actress,producer,director	tt0111503,tt0120694,tt0322330,tt1502407
nm0000131	John Cusack	1966	\N	actor,producer,writer	tt0098258,tt0450385,tt0146882,tt0119229
nm0000132	Claire Danes	1979	\N	actress,producer,soundtrack	tt0274558,tt1796960,tt0108872,tt0117509
nm0000133	Geena Davis	1956	\N	actress,producer,soundtrack	tt0091064,tt0103074,tt0104694,tt0116908
nm0000134	Robert De Niro	1943	\N	actor,producer,soundtrack	tt0077416,tt0101540,tt0075314,tt0081398
nm0000135	John Denver	1943	1997	soundtrack,music_department,actor	tt0076489,tt0120591,tt0299328,tt4649466
nm0000136	Johnny Depp	1963	\N	actor,producer,soundtrack	tt0408236,tt0449088,tt0325980,tt0367594
nm0000137	Bo Derek	1956	\N	actress,producer,miscellaneous	tt0099656,tt0083170,tt0086987,tt0114694
nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,writer	tt0993846,tt0120338,tt0407887,tt1375666
nm0000139	Cameron Diaz	1972	\N	actress,producer,soundtrack	tt0129387,tt0119738,tt0160127,tt0259711
nm0000140	Michael Douglas	1944	\N	actor,producer,soundtrack	tt0103772,tt0093010,tt0094291,tt1291580
nm0000141	David Duchovny	1960	\N	actor,producer,director	tt0106179,tt0120902,tt0443701,tt0904208
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt1205489,tt0112579,tt0105695,tt0405159
nm0000143	Erika Eleniak	1969	\N	actress	tt0105690,tt0106400,tt0083866,tt0094761
nm0000144	Cary Elwes	1962	\N	actor,producer,director	tt0387564,tt0119468,tt0093779,tt0107977
nm0000145	Sherilyn Fenn	1965	\N	actress,soundtrack	tt0098936,tt0105046,tt0100935,tt0092240
nm0000146	Ralph Fiennes	1962	\N	actor,director,producer	tt1201607,tt2278388,tt0387131,tt0108052
nm0000147	Colin Firth	1960	\N	actor,producer,soundtrack	tt2802144,tt1504320,tt0243155,tt1315981
nm0000148	Harrison Ford	1942	\N	actor,writer,producer	tt0076759,tt0106977,tt0082971,tt0118571
nm0000149	Jodie Foster	1962	\N	actress,director,producer	tt0102926,tt0118884,tt0476964,tt0075314
nm0000150	Michael J. Fox	1961	\N	actor,producer,miscellaneous	tt0115369,tt0116365,tt0096874,tt0088763
nm0000151	Morgan Freeman	1937	\N	actor,producer,soundtrack	tt0097239,tt0468569,tt1057500,tt0114369
nm0000152	Richard Gere	1949	\N	actor,soundtrack,producer	tt0299658,tt0100405,tt0084434,tt0358135
nm0000153	Gina Gershon	1962	\N	actress,soundtrack,producer	tt0115736,tt1726669,tt0114436,tt0119094
nm0000154	Mel Gibson	1956	\N	actor,producer,director	tt0118883,tt0104714,tt0112573,tt0117438
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0088939,tt0105417,tt0108147,tt0099653
nm0000156	Jeff Goldblum	1952	\N	actor,soundtrack,producer	tt0091064,tt0107290,tt0116629,tt2278388
nm0000157	Linda Hamilton	1956	\N	actress	tt0088247,tt0103064,tt0118928,tt6450804
nm0000158	Tom Hanks	1956	\N	producer,actor,soundtrack	tt0120815,tt0162222,tt0094737,tt0109830
nm0000159	Teri Hatcher	1964	\N	actress,soundtrack,writer	tt0327597,tt0410975,tt0106057,tt0120347
nm0000160	Ethan Hawke	1970	\N	actor,writer,producer	tt0381681,tt0139654,tt0112471,tt2209418
nm0000161	Salma Hayek	1966	\N	actress,producer,soundtrack	tt0120655,tt0119141,tt0112851,tt0120679
nm0000162	Anne Heche	1969	\N	actress,writer,producer	tt0119008,tt0120828,tt0120885,tt0120461
nm0000163	Dustin Hoffman	1937	\N	actor,producer,soundtrack	tt0064665,tt0095953,tt0061722,tt0084805
nm0000164	Anthony Hopkins	1937	\N	actor,soundtrack,composer	tt0975645,tt0102926,tt0118607,tt0412080
nm0000165	Ron Howard	1954	\N	actor,producer,director	tt0112384,tt0367279,tt0268978,tt0870111
nm0000166	Helen Hunt	1963	\N	actress,producer,director	tt0162222,tt0119822,tt0103484,tt0117998
nm0000167	Elizabeth Hurley	1965	\N	actress,producer	tt0230030,tt0145660,tt0105104,tt0118655
nm0000168	Samuel L. Jackson	1948	\N	actor,producer,soundtrack	tt0110912,tt3460252,tt0417148,tt4154664
nm0000169	Tommy Lee Jones	1946	\N	actor,director,soundtrack	tt0106977,tt2398231,tt0477348,tt0443272
nm0000170	Milla Jovovich	1975	\N	actress,soundtrack,producer	tt1220634,tt0119116,tt0120804,tt1220198
nm0000171	Ashley Judd	1968	\N	actress,producer,director	tt0470705,tt0113277,tt0150377,tt0352277
nm0000172	Harvey Keitel	1939	\N	actor,producer,soundtrack	tt0103759,tt2278388,tt0110912,tt0105236
nm0000173	Nicole Kidman	1967	\N	actress,producer,soundtrack	tt0935075,tt0203009,tt0274558,tt0159365
nm0000174	Val Kilmer	1959	\N	actor,producer,soundtrack	tt0120053,tt0373469,tt0101761,tt0235737
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0091499,tt0324864,tt0083767,tt0111161
nm0000176	Nastassja Kinski	1961	\N	actress,producer,soundtrack	tt0080009,tt0083722,tt0087884,tt0111400
nm0000177	Kevin Kline	1947	\N	actor,soundtrack,director	tt0106673,tt0095159,tt0113117,tt0120891
nm0000178	Diane Lane	1965	\N	actress,soundtrack	tt0086066,tt2096673,tt0250797,tt0328589
nm0000179	Jude Law	1972	\N	actor,producer,soundtrack	tt0346156,tt0376541,tt0134119,tt2278388
nm0000180	David Lean	1908	1991	editor,director,writer	tt0087892,tt0059113,tt0056172,tt0050212
nm0000181	Heather Locklear	1961	\N	actress,producer,soundtrack	tt0098193,tt0380623,tt0103491,tt0119695
nm0000182	Jennifer Lopez	1969	\N	actress,producer,soundtrack	tt0120094,tt0299930,tt0118615,tt0209958
nm0000183	Traci Lords	1968	\N	actress,soundtrack,producer	tt1007028,tt0099329,tt0120611,tt1984153
nm0000184	George Lucas	1944	\N	writer,producer,director	tt0066434,tt0076759,tt0069704,tt0082971
nm0000185	Dolph Lundgren	1957	\N	actor,producer,director	tt0093507,tt0113481,tt0105698,tt0089927
nm0000186	David Lynch	1946	\N	writer,director,producer	tt0460829,tt0098936,tt0105665,tt0166924
nm0000187	Madonna	1958	\N	soundtrack,actress,composer	tt0116250,tt0246460,tt0104694,tt0099422
nm0000188	Steve Martin	1945	\N	writer,actor,soundtrack	tt0131325,tt0102250,tt0093886,tt0079367
nm0000189	Jenny McCarthy	1972	\N	actress,producer,writer	tt0131857,tt0134084,tt0327643,tt0455967
nm0000190	Matthew McConaughey	1969	\N	actor,producer,soundtrack	tt1726669,tt1935179,tt0790636,tt1915581
nm0000191	Ewan McGregor	1971	\N	actor,writer,producer	tt0117951,tt0203009,tt2763304,tt1322269
nm0000192	Alyssa Milano	1972	\N	actress,producer,soundtrack	tt0088944,tt0086827,tt0158552,tt0116287
nm0000193	Demi Moore	1962	\N	actress,producer,director	tt0305357,tt0119173,tt0099653,tt0117765
nm0000194	Julianne Moore	1960	\N	actress,producer,soundtrack	tt3316960,tt0297884,tt0842926,tt0175880
nm0000195	Bill Murray	1950	\N	actor,soundtrack,writer	tt0335266,tt0362270,tt0128445,tt1748122
nm0000196	Mike Myers	1963	\N	actor,writer,soundtrack	tt0118655,tt0145660,tt0295178,tt0811138
nm0000197	Jack Nicholson	1937	\N	actor,soundtrack,producer	tt0407887,tt0071315,tt0073486,tt0119822
nm0000198	Gary Oldman	1958	\N	actor,soundtrack,producer	tt4555426,tt0468569,tt0103874,tt1340800
nm0000199	Al Pacino	1940	\N	actor,producer,soundtrack	tt0070666,tt0072890,tt0068646,tt0099422
nm0000200	Bill Paxton	1955	2017	actor,producer,writer	tt0090605,tt0264616,tt0117998,tt0112384
nm0000201	Michelle Pfeiffer	1958	\N	actress,soundtrack,producer	tt0117247,tt0427327,tt0161081,tt0106226
nm0000202	Ryan Phillippe	1974	\N	actor,producer,director	tt0280707,tt0120577,tt0139134,tt0375679
nm0000203	River Phoenix	1970	1993	actor,soundtrack	tt0096018,tt0092005,tt0091557,tt0102494
nm0000204	Natalie Portman	1981	\N	actress,producer,soundtrack	tt0376541,tt0947798,tt0110413,tt0434409
nm0000205	Parker Posey	1968	\N	actress,soundtrack,writer	tt0348150,tt0134084,tt0359013,tt0406759
nm0000206	Keanu Reeves	1964	\N	actor,producer,soundtrack	tt0133093,tt0234215,tt0111257,tt0102685
nm0000207	Christina Ricci	1980	\N	actress,producer,soundtrack	tt0811080,tt0118789,tt0112642,tt0462200
nm0000208	Molly Ringwald	1968	\N	actress,soundtrack,music_department	tt0088128,tt0095169,tt0091790,tt0088847
nm0000209	Tim Robbins	1958	\N	actor,producer,director	tt0105151,tt0094812,tt0091225,tt0327056
nm0000210	Julia Roberts	1967	\N	actress,producer,soundtrack	tt0195685,tt1322269,tt0376541,tt0100405
nm0000211	Mimi Rogers	1955	\N	actress,producer,soundtrack	tt0118655,tt0120738,tt0210070,tt0488085
nm0000212	Meg Ryan	1961	\N	actress,producer,soundtrack	tt0098635,tt0128853,tt0120632,tt0108160
nm0000213	Winona Ryder	1971	\N	actress,producer,soundtrack	tt0172493,tt0100140,tt0097493,tt0110367
nm0000214	Mia Sara	1967	\N	actress,soundtrack	tt0112515,tt0111438,tt0091042,tt0089469
nm0000215	Susan Sarandon	1946	\N	actress,producer,soundtrack	tt0112818,tt0103074,tt0120686,tt0094812
nm0000216	Arnold Schwarzenegger	1947	\N	actor,producer,director	tt0088247,tt0216216,tt0093773,tt0107362
nm0000217	Martin Scorsese	1942	\N	producer,director,actor	tt0099685,tt0070379,tt0075314,tt0106226
nm0000218	Kristin Scott Thomas	1960	\N	actress,soundtrack,director	tt0116209,tt0109831,tt0280707,tt1602613
nm0000219	Steven Seagal	1952	\N	producer,actor,writer	tt0094602,tt0105690,tt0110725,tt0242445
nm0000220	Joan Severance	1958	\N	actress,producer	tt0099141,tt0112519,tt0098282,tt0115696
nm0000221	Charlie Sheen	1965	\N	actor,producer,soundtrack	tt0107144,tt0108333,tt0094291,tt0369179
nm0000222	Brooke Shields	1965	\N	actress,producer,soundtrack	tt0080453,tt0080116,tt0115376,tt0078111
nm0000223	Elisabeth Shue	1963	\N	actress,soundtrack,producer	tt0092513,tt0087538,tt0120053,tt0113627
nm0000224	Alicia Silverstone	1976	\N	actress,producer,soundtrack	tt0106627,tt0124298,tt0112697,tt0118688
nm0000225	Christian Slater	1969	\N	actor,producer,soundtrack	tt0108399,tt4158110,tt0102798,tt0124198
nm0000226	Will Smith	1968	\N	music_department,actor,producer	tt0098800,tt0120891,tt0119654,tt0480249
nm0000227	Mira Sorvino	1967	\N	actress,producer,soundtrack	tt0120008,tt0120032,tt0364343,tt0113819
nm0000228	Kevin Spacey	1959	\N	actor,producer,soundtrack	tt0114369,tt0114814,tt0119488,tt0169547
nm0000229	Steven Spielberg	1946	\N	producer,writer,director	tt0082971,tt0083866,tt0108052,tt0120815
nm0000230	Sylvester Stallone	1946	\N	actor,writer,producer	tt3076658,tt0084602,tt0089927,tt0075148
nm0000231	Oliver Stone	1946	\N	producer,director,writer	tt0096969,tt0102138,tt0110632,tt0091763
nm0000232	Sharon Stone	1958	\N	actress,producer,soundtrack	tt0114214,tt0103772,tt0108162,tt0112641
nm0000233	Quentin Tarantino	1963	\N	writer,actor,producer	tt0110912,tt1028528,tt3460252,tt0105236
nm0000234	Charlize Theron	1975	\N	producer,actress,soundtrack	tt1392190,tt5610554,tt1735898,tt0340855
nm0000235	Uma Thurman	1970	\N	actress,soundtrack,producer	tt0110912,tt0118688,tt0266697,tt0378194
nm0000236	Jennifer Tilly	1958	\N	actress,soundtrack,writer	tt0387575,tt0109348,tt0115736,tt0144120
nm0000237	John Travolta	1954	\N	actor,soundtrack,producer	tt0076666,tt0077631,tt0110912,tt0113161
nm0000238	Shannon Tweed	1957	\N	actress,producer,miscellaneous	tt0165710,tt0094834,tt0110675,tt0112942
nm0000239	Liv Tyler	1977	\N	actress,soundtrack,producer	tt0120591,tt0120737,tt0167260,tt0482606
nm0000240	Skeet Ulrich	1970	\N	actor,director,producer	tt0117571,tt0913354,tt0409572,tt0115963
nm0000241	Jean-Claude Van Damme	1960	\N	actor,writer,producer	tt0097659,tt0101764,tt1130988,tt0119013
nm0000242	Mark Wahlberg	1971	\N	producer,actor,soundtrack	tt0964517,tt0407887,tt0118749,tt1637725
nm0000243	Denzel Washington	1954	\N	actor,producer,soundtrack	tt0168786,tt0139654,tt2671706,tt1037705
nm0000244	Sigourney Weaver	1949	\N	actress,soundtrack,producer	tt0118583,tt0078748,tt0499549,tt0177789
nm0000245	Robin Williams	1951	2014	actor,soundtrack,writer	tt0077053,tt0107614,tt0093105,tt0119217
nm0000246	Bruce Willis	1955	\N	actor,soundtrack,producer	tt0167404,tt0095016,tt0088571,tt0110912
nm0000247	John Woo	1946	\N	director,producer,writer	tt0425637,tt0119094,tt0104684,tt0092263
nm0000248	Edward D. Wood Jr.	1924	1978	writer,director,actor	tt0052077,tt0045826,tt0067479,tt0047127
nm0000249	James Woods	1947	\N	actor,producer,soundtrack	tt0119282,tt0159097,tt0120877,tt0086541
nm0000250	Renée Zellweger	1969	\N	actress,soundtrack,producer	tt0299658,tt0116695,tt0243155,tt0159365
nm0000251	Timothy Dowling	1973	\N	actor,writer,script_department	tt0181852,tt0430922,tt1596350,tt2120120
nm0000252	Robert Ellis	1892	1974	actor,director,writer	tt0010781,tt0030778,tt0006213,tt0028651
nm0000253	Robert Ellis	1888	1935	art_director,miscellaneous	tt0026454,tt0026242,tt0014083,tt0010965
